"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1930140110692946111","Wed Jun 04 05:50:37 +0000 2025","0","Anyone who claims that AI can replace tech jobs likely hasn't used it in their own work. Once you truly understand how AI functions and gains hands on experience with it you'll realize that AI is best suited to be enhancing our productivity not replacing us.","1930140110692946111","","","en","","0","0","0","https://x.com/undefined/status/1930140110692946111","4816810964",
"1930139202953285739","Wed Jun 04 05:47:00 +0000 2025","7"," AI to destroy 50% of entry level jobs - by @AnthropicAI C.E.O (godfather of AI) shared in his latest paper I was going to argue about customer facing my jobs but AI companies are now making virtual companions &amp; therapists which are replacing the usual therapists ‍↕️","1930139202953285739","","","en","","0","5","2","https://x.com/undefined/status/1930139202953285739","1020537886062596096",
"1930137213746196832","Wed Jun 04 05:39:06 +0000 2025","2","AI is in the process to make uncounted jobs redundant and the Oligarchs replacing more + more working people with software applications who will buy the products we have to consume to keep the economy growing. Who can buy the services if more service workers loose their job?","1930137213746196832","","","en","","0","0","1","https://x.com/undefined/status/1930137213746196832","1352467075483095045",
"1930027164566729157","Wed Jun 04 04:40:41 +0000 2025","0","@bindureddy You re right. There s no denying a big part of the AI race is about replacing jobs not just assisting. But there s also a layer where AI augments human work in ways we couldn t before. It feels like we are heading toward both replacement and collaboration depending on the task.","1930122512484147448","","bindureddy","en","","0","0","0","https://x.com/undefined/status/1930122512484147448","1108703569073467397",
"1930091617010245739","Wed Jun 04 04:38:17 +0000 2025","2","@bowtiedstocks @wordsmanship AI set to start replacing jobs at an accelerating rate. If even 2-3% of white collar jobs are replaced the knock on effects will begin. I don't know how people can feel comfortable taking on million dollar+ debts in this current environment.","1930121906746978714","","bowtiedstocks","en","","0","0","0","https://x.com/undefined/status/1930121906746978714","3115220979",
"1930110165816340733","Wed Jun 04 03:51:37 +0000 2025","0","Everyone talks about AI replacing jobs. But few talk about what happens when people lose purpose. Not income. Identity. That s the real fear no one wants to name.","1930110165816340733","","","en","","0","0","0","https://x.com/undefined/status/1930110165816340733","1895155882918621184",
"1929951203015659571","Wed Jun 04 03:19:57 +0000 2025","0","@DavidSacks So what's your plan when AI takes all of our jobs? Just let us all starve to death? I don't want to be on welfare either. But you guys seem dead set on replacing us all. And your only response seems to be Tough shit. I'm rich. I'll be fine. Good luck. ","1930102196466790465","","DavidSacks","en","","0","0","0","https://x.com/undefined/status/1930102196466790465","1602516681804636160",
"1930102145497329995","Wed Jun 04 03:19:45 +0000 2025","0","#AI and the Future of Work: Enhancing Jobs Rather Than Replacing Them https://t.co/T5wmdL5TfW","1930102145497329995","","","en","","0","0","0","https://x.com/undefined/status/1930102145497329995","1159818353973895168",
"1930099839884251145","Wed Jun 04 03:10:36 +0000 2025","0","IBM is replacing 8 000 jobs with AI. I m sure this will be a growing trend moving forward. This time it s HR roles what s next? https://t.co/qaHJaQFhtn","1930099839884251145","","","en","","0","0","0","https://x.com/undefined/status/1930099839884251145","3165840956",
"1930049360991269086","Wed Jun 04 02:58:37 +0000 2025","0","@vitrupo This guy is so excited about replacing peoples jobs with AI it makes me sick","1930096826834645187","","vitrupo","en","","0","0","0","https://x.com/undefined/status/1930096826834645187","1212280495460896768",
